# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 24.1std.0 Build 1077 03/04/2025 SC Lite Edition
# File: C:\Users\Toni\Desktop\Verilog_Projects\simple_alu_v1\simple_alu_v1.csv
# Generated on: Tue Jun 10 20:50:05 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
info_led_1,Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
info_led_2,Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
info_led_3,Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
operand_1_ssd_hundreds[6],Output,,,,PIN_U26,,,,,,
operand_1_ssd_hundreds[5],Output,,,,PIN_C6,,,,,,
operand_1_ssd_hundreds[4],Output,,,,PIN_C4,,,,,,
operand_1_ssd_hundreds[3],Output,,,,PIN_V24,,,,,,
operand_1_ssd_hundreds[2],Output,,,,PIN_AD8,,,,,,
operand_1_ssd_hundreds[1],Output,,,,PIN_A3,,,,,,
operand_1_ssd_hundreds[0],Output,,,,PIN_C14,,,,,,
operand_1_ssd_tens[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
operand_1_ssd_tens[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
operand_1_ssd_tens[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
operand_1_ssd_tens[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
operand_1_ssd_tens[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
operand_1_ssd_tens[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
operand_1_ssd_tens[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
operand_1_ssd_units[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
operand_1_ssd_units[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
operand_1_ssd_units[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
operand_1_ssd_units[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
operand_1_ssd_units[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
operand_1_ssd_units[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
operand_1_ssd_units[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
operand_2_ssd_hundreds[6],Output,,,,PIN_D24,,,,,,
operand_2_ssd_hundreds[5],Output,,,,PIN_AD25,,,,,,
operand_2_ssd_hundreds[4],Output,,,,PIN_AD2,,,,,,
operand_2_ssd_hundreds[3],Output,,,,PIN_A6,,,,,,
operand_2_ssd_hundreds[2],Output,,,,PIN_E8,,,,,,
operand_2_ssd_hundreds[1],Output,,,,PIN_D5,,,,,,
operand_2_ssd_hundreds[0],Output,,,,PIN_AF11,,,,,,
operand_2_ssd_tens[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
operand_2_ssd_tens[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
operand_2_ssd_tens[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
operand_2_ssd_tens[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
operand_2_ssd_tens[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
operand_2_ssd_tens[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
operand_2_ssd_tens[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
operand_2_ssd_units[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
operand_2_ssd_units[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
operand_2_ssd_units[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
operand_2_ssd_units[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
operand_2_ssd_units[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
operand_2_ssd_units[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
operand_2_ssd_units[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
result_ssd_hundreds[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
result_ssd_hundreds[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
result_ssd_hundreds[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
result_ssd_hundreds[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
result_ssd_hundreds[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
result_ssd_hundreds[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
result_ssd_hundreds[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
result_ssd_tens[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
result_ssd_tens[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
result_ssd_tens[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
result_ssd_tens[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
result_ssd_tens[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
result_ssd_tens[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
result_ssd_tens[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
result_ssd_units[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
result_ssd_units[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
result_ssd_units[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
result_ssd_units[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
result_ssd_units[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
result_ssd_units[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
result_ssd_units[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
w[1],Input,PIN_ac24,5,B5_N2,PIN_AH15,,,,,,
w[0],Input,PIN_ab25,5,B5_N1,PIN_AG15,,,,,,
x[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
x[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
x[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
x[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
y[3],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
y[2],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
y[1],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
y[0],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
